from,to,session_id,timestamp
competition,badges,24,2017-09-13 07:54:23.671000064
badges,exit,24,2017-09-13 07:54:23.671000064
coach,team,25,2017-09-13 12:37:37.443000064
team,competition,25,2017-09-13 12:37:47.532999936
competition,coach,25,2017-09-13 12:59:56.422000128
coach,personal,25,2017-09-13 13:00:12.680000000
personal,coach,25,2017-09-13 13:00:25.044000000
coach,track,25,2017-09-13 13:00:25.980000000
track,exit,25,2017-09-13 13:00:25.980000000
track,route,26,2017-09-13 14:22:12.655000064
route,track,26,2017-09-13 14:22:19.696999936
track,team,26,2017-09-13 14:22:22.248999936
team,competition,26,2017-09-13 14:22:32.276000000
competition,exit,26,2017-09-13 14:22:32.276000000
competition,coach,27,2017-09-13 19:19:18.412999936
coach,exit,27,2017-09-13 19:19:18.412999936
competition,team,28,2017-09-14 03:44:51.584999936
team,exit,28,2017-09-14 03:44:51.584999936
coach,personal,29,2017-09-14 06:31:32.856999936
personal,coach,29,2017-09-14 06:31:44.057999872
coach,competition,29,2017-09-14 06:31:46.152999936
competition,exit,29,2017-09-14 06:31:46.152999936
coach,competition,30,2017-09-14 10:14:38.590000128
competition,team,30,2017-09-14 10:14:48.704000000
team,exit,30,2017-09-14 10:14:48.704000000
coach,exit,31,2017-09-14 14:21:28.364000000
personal,coach,32,2017-09-14 16:22:10.411000064
coach,track,32,2017-09-14 16:22:12.388999936
track,exit,32,2017-09-14 16:22:12.388999936
coach,exit,33,2017-09-14 17:17:01.240000000
track,route,34,2017-09-14 17:51:05.560999936
route,coach,34,2017-09-14 17:51:24.924000000
coach,exit,34,2017-09-14 17:51:24.924000000
competition,team,35,2017-09-14 19:20:39.086000128
team,competition,35,2017-09-14 19:21:24.152000000
competition,exit,35,2017-09-14 19:21:24.152000000
competition,coach,36,2017-09-14 20:30:46.719000064
coach,exit,36,2017-09-14 20:30:46.719000064
coach,competition,37,2017-09-15 09:35:49.296000000
competition,exit,37,2017-09-15 09:35:49.296000000
personal,competition,38,2017-09-15 10:26:46.840000000
competition,track,38,2017-09-15 10:26:48.700000000
track,exit,38,2017-09-15 10:26:48.700000000
track,route,39,2017-09-15 11:52:10.028000000
route,coach,39,2017-09-15 11:52:28.295000064
coach,competition,39,2017-09-15 12:00:08.259000064
competition,team,39,2017-09-15 12:00:12.903000064
team,badges,39,2017-09-15 12:00:27.465999872
badges,exit,39,2017-09-15 12:00:27.465999872
badges,competition,40,2017-09-15 13:08:00.449999872
competition,exit,40,2017-09-15 13:08:00.449999872
coach,personal,41,2017-09-15 13:54:31.886000128
personal,coach,41,2017-09-15 13:54:41.588999936
coach,team,41,2017-09-15 13:54:44.684000000
team,competition,41,2017-09-15 13:55:07.344000000
competition,exit,41,2017-09-15 13:55:07.344000000
competition,team,42,2017-09-16 06:17:28.041999872
team,exit,42,2017-09-16 06:17:28.041999872
